user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Phương pháp khấu trừ thuế GTGT là gì?,"['Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u 2\n#### ?i?u 2. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? thu? gi? tr? gia t?ng, ??i t??ng ch?u thu?, c?n c? t?nh thu? v? thu? su?t ?p d?ng.', 'Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Phương pháp khấu trừ thuế GTGT là phương pháp xác định số thuế phải nộp bằng thuế GTGT đầu ra trừ thuế GTGT đầu vào được khấu trừ.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']",Phương pháp khấu trừ thuế GTGT là phương pháp xác định số thuế phải nộp bằng thuế GTGT đầu ra trừ thuế GTGT đầu vào được khấu trừ.,Phương pháp khấu trừ thuế GTGT là phương pháp xác định số thuế phải nộp bằng thuế GTGT đầu ra trừ thuế GTGT đầu vào được khấu trừ.,0.92,0.9,0.91,0.93
Hóa đơn điện tử là gì?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Hóa đơn điện tử là hóa đơn được lập, gửi, nhận, lưu trữ và quản lý bằng phương tiện điện tử theo quy định về hóa đơn, chứng từ.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Hóa đơn điện tử là hóa đơn được lập, gửi, nhận, lưu trữ và quản lý bằng phương tiện điện tử theo quy định về hóa đơn, chứng từ.","Hóa đơn điện tử là hóa đơn được lập, gửi, nhận, lưu trữ và quản lý bằng phương tiện điện tử theo quy định về hóa đơn, chứng từ.",0.94,0.92,0.93,0.95
Hóa đơn GTGT dùng để làm gì?,"['Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u 2\n#### ?i?u 2. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? thu? gi? tr? gia t?ng, ??i t??ng ch?u thu?, c?n c? t?nh thu? v? thu? su?t ?p d?ng.', 'Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Hóa đơn GTGT dùng để ghi nhận việc bán hàng hóa, cung cấp dịch vụ và là căn cứ kê khai thuế, hạch toán doanh thu, chi phí và khấu trừ thuế nếu đủ điều kiện.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Hóa đơn GTGT dùng để ghi nhận việc bán hàng hóa, cung cấp dịch vụ và là căn cứ kê khai thuế, hạch toán doanh thu, chi phí và khấu trừ thuế nếu đủ điều kiện.","Hóa đơn GTGT dùng để ghi nhận việc bán hàng hóa, cung cấp dịch vụ và là căn cứ kê khai thuế, hạch toán doanh thu, chi phí và khấu trừ thuế nếu đủ điều kiện.",0.93,0.91,0.92,0.94
Thuế thu nhập cá nhân là gì?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Thuế thu nhập cá nhân là thuế trực thu đánh vào thu nhập chịu thuế của cá nhân theo quy định của pháp luật thuế thu nhập cá nhân.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']",Thuế thu nhập cá nhân là thuế trực thu đánh vào thu nhập chịu thuế của cá nhân theo quy định của pháp luật thuế thu nhập cá nhân.,Thuế thu nhập cá nhân là thuế trực thu đánh vào thu nhập chịu thuế của cá nhân theo quy định của pháp luật thuế thu nhập cá nhân.,0.95,0.94,0.95,0.96
Ai là người nộp thuế thu nhập cá nhân?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Người nộp thuế thu nhập cá nhân gồm cá nhân cư trú có thu nhập chịu thuế phát sinh trong và ngoài Việt Nam và cá nhân không cư trú có thu nhập chịu thuế phát sinh tại Việt Nam.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']",Người nộp thuế thu nhập cá nhân gồm cá nhân cư trú có thu nhập chịu thuế phát sinh trong và ngoài Việt Nam và cá nhân không cư trú có thu nhập chịu thuế phát sinh tại Việt Nam.,Người nộp thuế thu nhập cá nhân gồm cá nhân cư trú có thu nhập chịu thuế phát sinh trong và ngoài Việt Nam và cá nhân không cư trú có thu nhập chịu thuế phát sinh tại Việt Nam.,0.94,0.92,0.93,0.95
"Thu nhập từ tiền lương, tiền công có chịu thuế TNCN không?","['Lu?t Thu? Thu Nh?p C? Nh?n ? ?i?u 2\n#### ?i?u 2. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, gi?m tr? v? quy?t to?n thu? thu nh?p c? nh?n.', 'Lu?t Thu? Thu Nh?p C? Nh?n ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Thu nhập từ tiền lương, tiền công là một loại thu nhập chịu thuế TNCN, sau khi trừ các khoản miễn thuế và giảm trừ theo quy định.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Thu nhập từ tiền lương, tiền công là một loại thu nhập chịu thuế TNCN, sau khi trừ các khoản miễn thuế và giảm trừ theo quy định.","Thu nhập từ tiền lương, tiền công là một loại thu nhập chịu thuế TNCN, sau khi trừ các khoản miễn thuế và giảm trừ theo quy định.",0.93,0.91,0.92,0.94
Giảm trừ gia cảnh dùng để làm gì khi tính thuế TNCN?,"['Lu?t Thu? Thu Nh?p C? Nh?n ? ?i?u 2\n#### ?i?u 2. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, gi?m tr? v? quy?t to?n thu? thu nh?p c? nh?n.', 'Lu?t Thu? Thu Nh?p C? Nh?n ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Giảm trừ gia cảnh dùng để trừ khỏi thu nhập chịu thuế trước khi tính thuế TNCN đối với cá nhân cư trú có thu nhập từ tiền lương, tiền công hoặc kinh doanh.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Giảm trừ gia cảnh dùng để trừ khỏi thu nhập chịu thuế trước khi tính thuế TNCN đối với cá nhân cư trú có thu nhập từ tiền lương, tiền công hoặc kinh doanh.","Giảm trừ gia cảnh dùng để trừ khỏi thu nhập chịu thuế trước khi tính thuế TNCN đối với cá nhân cư trú có thu nhập từ tiền lương, tiền công hoặc kinh doanh.",0.92,0.9,0.91,0.93
Đăng ký thuế là gì?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Đăng ký thuế là việc người nộp thuế kê khai thông tin với cơ quan thuế để được cấp mã số thuế và quản lý nghĩa vụ thuế theo quy định.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']",Đăng ký thuế là việc người nộp thuế kê khai thông tin với cơ quan thuế để được cấp mã số thuế và quản lý nghĩa vụ thuế theo quy định.,Đăng ký thuế là việc người nộp thuế kê khai thông tin với cơ quan thuế để được cấp mã số thuế và quản lý nghĩa vụ thuế theo quy định.,0.94,0.93,0.94,0.95
Doanh nghiệp có hóa đơn hợp lệ nhưng khoản chi không phục vụ hoạt động kinh doanh thì có được trừ khi tính thuế TNDN không?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Không. Khoản chi dù có hóa đơn hợp lệ nhưng không liên quan đến hoạt động sản xuất kinh doanh thì thường không được tính vào chi phí được trừ khi xác định thu nhập chịu thuế TNDN.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']",Không. Khoản chi dù có hóa đơn hợp lệ nhưng không liên quan đến hoạt động sản xuất kinh doanh thì thường không được tính vào chi phí được trừ khi xác định thu nhập chịu thuế TNDN.,Không. Khoản chi dù có hóa đơn hợp lệ nhưng không liên quan đến hoạt động sản xuất kinh doanh thì thường không được tính vào chi phí được trừ khi xác định thu nhập chịu thuế TNDN.,0.88,0.86,0.87,0.9
Doanh nghiệp vừa có thu nhập từ kinh doanh thông thường vừa có thu nhập chuyển nhượng bất động sản thì có cần hạch toán riêng không?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Có. Thu nhập từ chuyển nhượng bất động sản cần được hạch toán riêng và xác định nghĩa vụ thuế theo quy định riêng, không gộp tùy tiện với thu nhập kinh doanh thông thường.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Có. Thu nhập từ chuyển nhượng bất động sản cần được hạch toán riêng và xác định nghĩa vụ thuế theo quy định riêng, không gộp tùy tiện với thu nhập kinh doanh thông thường.","Có. Thu nhập từ chuyển nhượng bất động sản cần được hạch toán riêng và xác định nghĩa vụ thuế theo quy định riêng, không gộp tùy tiện với thu nhập kinh doanh thông thường.",0.84,0.82,0.85,0.88
"Hàng hóa xuất khẩu có hợp đồng, chứng từ thanh toán qua ngân hàng và hồ sơ hải quan đầy đủ thì thường áp dụng thuế suất GTGT nào?","['Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u 2\n#### ?i?u 2. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? thu? gi? tr? gia t?ng, ??i t??ng ch?u thu?, c?n c? t?nh thu? v? thu? su?t ?p d?ng.', 'Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Hàng hóa xuất khẩu có đủ hợp đồng, chứng từ thanh toán qua ngân hàng và hồ sơ hải quan theo quy định thường được áp dụng thuế suất GTGT 0%.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Hàng hóa xuất khẩu có đủ hợp đồng, chứng từ thanh toán qua ngân hàng và hồ sơ hải quan theo quy định thường được áp dụng thuế suất GTGT 0%.","Hàng hóa xuất khẩu có đủ hợp đồng, chứng từ thanh toán qua ngân hàng và hồ sơ hải quan theo quy định thường được áp dụng thuế suất GTGT 0%.",0.9,0.88,0.89,0.91
